location,San Bartolo,San Bartolo
lat,19.79511,19.79511
lon,-90.56491,-90.56491
asl,39.683,39.683
variable,Wind Speed,Wind Direction
unit,km/h,Â°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,San Bartolo Wind Speed [80 m],San Bartolo Wind Direction [80 m]
20200414T0000,19.376562,54.83355
20200414T0100,16.808569,80.134186
20200414T0200,19.826164,119.35776
20200414T0300,23.770906,125.13419
20200414T0400,24.344624,128.39516
20200414T0500,23.686249,133.15239
20200414T0600,22.148046,135.65854
20200414T0700,23.507751,139.96974
20200414T0800,23.977188,138.65222
20200414T0900,24.627789,142.12502
20200414T1000,22.768396,145.30484
20200414T1100,17.906157,149.82648
20200414T1200,11.620809,163.81079
20200414T1300,4.39436,214.99202
20200414T1400,12.387348,305.5377
20200414T1500,22.180206,305.7539
20200414T1600,20.073025,302.55
20200414T1700,19.35314,313.49255
20200414T1800,17.786331,324.0579
20200414T1900,17.992796,340.11484
20200414T2000,20.16,360.0
20200414T2100,21.485697,8.673172
20200414T2200,17.58481,22.890549
20200414T2300,12.819235,38.157227
20200415T0000,10.00256,59.74356
20200415T0100,9.885262,100.49147
20200415T0200,16.039202,134.0906
20200415T0300,18.668005,129.52263
20200415T0400,19.134262,131.18591
20200415T0500,20.188908,129.93637
20200415T0600,20.87379,135.0
20200415T0700,19.8,143.1301
20200415T0800,16.1198,150.57254
20200415T0900,16.516901,159.59012
20200415T1000,13.708391,166.32869
20200415T1100,7.5685663,182.72632
20200415T1200,6.162207,263.29016
20200415T1300,18.374111,304.62415
20200415T1400,20.3774,302.00537
20200415T1500,20.799152,293.45905
20200415T1600,20.288164,297.47443
20200415T1700,21.758419,308.95593
20200415T1800,21.166653,318.4474
20200415T1900,22.288042,328.87753
20200415T2000,27.438046,340.85187
20200415T2100,29.5551,357.2073
20200415T2200,27.682571,20.556046
20200415T2300,21.915691,42.336975
20200416T0000,17.884428,49.89908
20200416T0100,17.57744,55.007973
20200416T0200,16.263872,62.30053
20200416T0300,14.799459,71.565056
20200416T0400,13.441071,82.303955
20200416T0500,12.324414,96.70984
20200416T0600,12.594856,120.963745
20200416T0700,13.608762,142.52382
20200416T0800,15.03835,137.91083
20200416T0900,10.44,136.39719
20200416T1000,5.6002855,135.0
20200416T1100,0.71999997,360.0
20200416T1200,9.585739,325.71313
20200416T1300,20.969807,325.4915
20200416T1400,21.470612,325.24408
20200416T1500,22.768396,325.30484
20200416T1600,23.993399,332.2815
20200416T1700,28.137632,343.65186
20200416T1800,28.66694,352.78574
20200416T1900,29.914679,357.2409
20200416T2000,28.30983,7.3057404
20200416T2100,30.302078,23.82425
20200416T2200,27.567635,40.763596
20200416T2300,23.34455,63.43495
20200417T0000,20.06334,80.70669
20200417T0100,19.0392,105.350136
20200417T0200,20.94507,118.76764
20200417T0300,22.66857,122.68055
20200417T0400,23.838959,128.25443
20200417T0500,24.703974,133.22853
20200417T0600,24.967497,137.33731
20200417T0700,23.277834,140.64825
20200417T0800,18.79255,143.56914
20200417T0900,19.64228,138.71529
20200417T1000,17.057314,135.8551
20200417T1100,14.264361,137.04541
20200417T1200,10.691453,135.0
20200417T1300,5.692099,124.69515
20200417T1400,2.52,89.99999
20200417T1500,8.699793,335.55603
20200417T1600,17.388409,332.90445
20200417T1700,23.469128,339.3411
20200417T1800,25.420181,347.73523
20200417T1900,27.238941,352.40536
20200417T2000,23.051247,358.21008
20200417T2100,20.774214,8.972626
20200417T2200,13.479583,34.114456
20200417T2300,10.799999,126.869896
20200418T0000,19.681828,140.19443
20200418T0100,21.533897,128.21103
20200418T0200,22.771244,129.22568
20200418T0300,23.424908,133.75464
20200418T0400,22.657131,134.35625
20200418T0500,21.142147,132.92996
20200418T0600,20.390114,132.13759
20200418T0700,19.95972,129.14398
20200418T0800,18.328207,135.0
20200418T0900,19.914215,139.39871
20200418T1000,19.881649,137.93567
20200418T1100,18.391737,139.76364
20200418T1200,15.629971,141.5463
20200418T1300,11.885453,144.86581
20200418T1400,5.815978,158.1986
20200418T1500,7.7043357,307.40536
20200418T1600,19.083395,324.21103
20200418T1700,23.871555,336.91486
20200418T1800,23.936617,347.84506
20200418T1900,26.525429,352.19983
20200418T2000,24.881702,3.3177795
20200418T2100,20.60823,19.384506
20200418T2200,13.779114,56.725105
20200418T2300,19.881649,132.06433
20200419T0000,26.758923,132.27368
20200419T0100,28.075384,130.84036
20200419T0200,27.059933,130.68398
20200419T0300,27.0024,132.83891
20200419T0400,26.983196,135.0
20200419T0500,24.946726,135.0
20200419T0600,22.66857,133.06941
20200419T0700,21.67487,131.63353
20200419T0800,24.967497,137.33731
20200419T0900,26.31942,139.99374
20200419T1000,25.41763,142.48088
20200419T1100,22.180206,144.24611
20200419T1200,17.49615,143.36588
20200419T1300,12.57426,156.37062
20200419T1400,6.8399997,180.0
20200419T1500,6.151683,290.55603
20200419T1600,10.464797,319.18494
20200419T1700,11.983188,327.26477
20200419T1800,10.00256,329.7436
20200419T1900,8.766573,340.82098
20200419T2000,9.220499,321.3402
20200419T2100,9.346143,15.642242
20200419T2200,12.864649,72.072075
20200419T2300,17.84816,138.2705
20200420T0000,21.129883,135.69028
20200420T0100,21.142147,137.07004
20200420T0200,22.406927,136.30196
20200420T0300,23.441502,137.48955
20200420T0400,22.961115,138.81407
20200420T0500,21.166653,138.44739
20200420T0600,19.107151,137.2906
20200420T0700,17.581125,132.51044
20200420T0800,18.899143,139.63547
20200420T0900,16.489416,143.88066
20200420T1000,12.682018,145.40771
20200420T1100,6.6087217,150.64224
20200420T1200,5.495161,301.6075
20200420T1300,20.87379,315.0
20200420T1400,20.633371,312.8789
20200420T1500,18.899143,310.36456
20200420T1600,19.61587,312.76883
20200420T1700,21.252197,321.18863
20200420T1800,20.140705,335.72556
20200420T1900,22.461807,353.5584
20200420T2000,28.8,360.0
20200420T2100,28.483257,16.144318
20200420T2200,25.076267,39.173645
20200420T2300,22.9724,57.80426
20200421T0000,21.897945,62.59243
20200421T0100,19.966211,64.358986
20200421T0200,17.76081,72.29957
20200421T0300,17.294992,87.61405
20200421T0400,17.377226,103.172554
20200421T0500,18.35647,115.55997
20200421T0600,18.671474,123.99645
20200421T0700,19.228851,128.15723
20200421T0800,18.844202,136.54816
20200421T0900,18.218275,142.22432
20200421T1000,15.696165,143.39293
20200421T1100,9.585739,145.71312
20200421T1200,2.2768397,161.56505
20200421T1300,8.0899935,327.72437
20200421T1400,20.972897,320.5722
20200421T1500,22.545315,321.4831
20200421T1600,23.675304,331.87628
20200421T1700,31.003918,347.2547
20200421T1800,31.421213,355.3999
20200421T1900,30.978832,358.00214
20200421T2000,28.100763,2.202591
20200421T2100,26.405453,11.00354
20200421T2200,25.140787,29.134277
20200421T2300,21.817902,52.373756