location,El Progreso de Chiapas,El Progreso de Chiapas
lat,15.52838,15.52838
lon,-92.94272,-92.94272
asl,152.674,152.674
variable,Wind Speed,Wind Direction
unit,km/h,Â°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Progreso de Chiapas Wind Speed [80 m],El Progreso de Chiapas Wind Direction [80 m]
20200414T0000,4.5820518,315.0
20200414T0100,3.9763298,275.19443
20200414T0200,3.6,270.0
20200414T0300,3.0758414,290.55603
20200414T0400,2.8799999,270.0
20200414T0500,1.835647,258.69006
20200414T0600,1.1384199,198.43495
20200414T0700,7.5685663,64.65382
20200414T0800,4.2136917,109.9831
20200414T0900,9.6932955,195.0685
20200414T1000,9.793058,197.10272
20200414T1100,10.144082,207.47443
20200414T1200,7.289444,200.22485
20200414T1300,8.427383,199.98311
20200414T1400,10.464797,229.18492
20200414T1500,16.831684,228.46823
20200414T1600,16.039202,224.09062
20200414T1700,13.237038,225.0
20200414T1800,9.686609,228.01279
20200414T1900,7.729527,242.24146
20200414T2000,4.379589,260.5377
20200414T2100,1.4399999,360.0
20200414T2200,5.5887027,14.931412
20200414T2300,8.654986,16.927505
20200415T0000,6.519877,353.65985
20200415T0100,4.3349743,311.63354
20200415T0200,5.00128,300.25644
20200415T0300,4.829907,296.56506
20200415T0400,6.849467,266.9872
20200415T0500,6.130579,266.63354
20200415T0600,4.32,270.0
20200415T0700,1.609969,296.56506
20200415T0800,2.8116899,219.80557
20200415T0900,8.14587,225.0
20200415T1000,11.720751,227.48956
20200415T1100,15.7908325,226.84761
20200415T1200,16.595179,220.60129
20200415T1300,14.57889,212.90524
20200415T1400,7.2805495,188.53076
20200415T1500,7.2805495,188.53076
20200415T1600,7.9932966,215.83765
20200415T1700,10.739832,219.55966
20200415T1800,12.819235,218.15723
20200415T1900,7.9932966,234.16235
20200415T2000,0.71999997,270.0
20200415T2100,3.671294,348.69006
20200415T2200,5.937272,345.96375
20200415T2300,1.835647,348.69006
20200416T0000,2.16,270.0
20200416T0100,4.73506,261.25385
20200416T0200,4.896529,252.89728
20200416T0300,1.4399999,270.0
20200416T0400,1.08,360.0
20200416T0500,3.8939953,33.690063
20200416T0600,5.1165614,39.2894
20200416T0700,5.495161,58.392494
20200416T0800,1.484318,165.96376
20200416T0900,6.792466,212.00539
20200416T1000,10.383987,213.69006
20200416T1100,16.09969,206.56505
20200416T1200,15.379206,196.31386
20200416T1300,11.792404,192.33908
20200416T1400,6.162207,186.70984
20200416T1500,5.315336,208.30077
20200416T1600,9.290511,234.46233
20200416T1700,8.78872,235.00798
20200416T1800,9.220499,231.3402
20200416T1900,8.891343,238.24052
20200416T2000,4.802999,192.99461
20200416T2100,0.35999998,180.0
20200416T2200,0.71999997,360.0
20200416T2300,2.52,270.0
20200417T0000,3.9763298,264.80557
20200417T0100,5.04,270.0
20200417T0200,3.96,270.0
20200417T0300,2.5959969,303.69006
20200417T0400,3.096837,324.46234
20200417T0500,3.396233,302.00537
20200417T0600,3.096837,324.46234
20200417T0700,2.4149535,333.43497
20200417T0800,1.2979984,56.30993
20200417T0900,8.78872,214.99202
20200417T1000,12.783802,212.34744
20200417T1100,10.829958,201.44774
20200417T1200,7.9932976,187.76517
20200417T1300,10.685391,212.61925
20200417T1400,12.594856,210.96376
20200417T1500,12.979984,213.69006
20200417T1600,13.281023,212.82855
20200417T1700,15.1884165,211.42957
20200417T1800,13.479583,214.11447
20200417T1900,11.435313,208.17859
20200417T2000,11.27553,196.69925
20200417T2100,9.227524,200.55605
20200417T2200,5.6233797,230.19443
20200417T2300,5.506941,258.69006
20200418T0000,7.968939,251.56506
20200418T0100,7.7043357,232.59465
20200418T0200,11.090103,215.75389
20200418T0300,14.081477,212.47119
20200418T0400,10.514218,218.04704
20200418T0500,5.495161,238.3925
20200418T0600,3.96,270.0
20200418T0700,4.072935,315.0
20200418T0800,2.16,360.0
20200418T0900,7.628263,250.70996
20200418T1000,9.904906,250.90651
20200418T1100,10.948973,242.59244
20200418T1200,7.69592,259.2157
20200418T1300,5.2416787,254.0546
20200418T1400,10.195057,227.86241
20200418T1500,16.595179,229.39871
20200418T1600,14.799459,228.94519
20200418T1700,10.296251,233.53076
20200418T1800,9.659814,243.43495
20200418T1900,10.495713,247.83365
20200418T2000,8.707237,209.74489
20200418T2100,6.28713,203.62938
20200418T2200,2.5959969,236.30994
20200418T2300,1.8,270.0
20200419T0000,4.32,270.0
20200419T0100,5.4833565,246.8014
20200419T0200,7.653705,228.81409
20200419T0300,8.669949,221.63354
20200419T0400,9.673221,225.0
20200419T0500,8.669949,228.36647
20200419T0600,6.193674,234.46233
20200419T0700,3.2599385,263.65982
20200419T0800,1.9386592,111.80141
20200419T0900,4.1046314,195.25513
20200419T1000,6.792466,212.00539
20200419T1100,6.638072,220.6013
20200419T1200,5.815978,201.8014
20200419T1300,6.6185193,202.38013
20200419T1400,4.5536795,198.43495
20200419T1500,9.931042,223.5312
20200419T1600,10.182337,225.0
20200419T1700,11.457958,226.27303
20200419T1800,9.693296,238.67131
20200419T1900,6.28713,256.7595
20200419T2000,8.891344,201.37062
20200419T2100,3.96,180.0
20200419T2200,2.8799999,89.99999
20200419T2300,5.904439,52.431404
20200420T0000,4.5820518,44.999985
20200420T0100,4.39436,34.99202
20200420T0200,3.0547013,44.999985
20200420T0300,1.835647,78.69006
20200420T0400,1.2979984,146.30994
20200420T0500,2.1897945,170.53767
20200420T0600,1.609969,116.56505
20200420T0700,3.8773184,68.19859
20200420T0800,3.96,89.99999
20200420T0900,1.4399999,89.99999
20200420T1000,2.6208394,285.9454
20200420T1100,6.1094027,225.0
20200420T1200,7.968939,198.43495
20200420T1300,14.007655,205.90651
20200420T1400,16.575644,214.38034
20200420T1500,10.495713,210.96376
20200420T1600,4.2136917,199.98311
20200420T1700,5.0142193,201.0375
20200420T1800,6.0347,197.35403
20200420T1900,5.95906,205.01689
20200420T2000,7.127636,225.0
20200420T2100,5.3999996,233.1301
20200420T2200,4.2136917,289.98312
20200420T2300,5.315336,331.69925
20200421T0000,5.315336,298.30078
20200421T0100,6.9527545,248.7495
20200421T0200,3.6179552,275.7106
20200421T0300,4.68,360.0
20200421T0400,7.5942082,31.42955
20200421T0500,1.609969,26.565033
20200421T0600,1.1384199,198.43495
20200421T0700,1.08,270.0
20200421T0800,2.8116899,230.19443
20200421T0900,8.404285,226.73572
20200421T1000,10.799999,233.1301
20200421T1100,12.88981,234.09029
20200421T1200,9.19939,239.42078
20200421T1300,6.5693827,260.5377
20200421T1400,5.991594,237.26477
20200421T1500,8.714677,231.70984
20200421T1600,11.246759,230.19443
20200421T1700,14.77755,235.9228
20200421T1800,13.392774,233.74615
20200421T1900,13.493999,223.91908
20200421T2000,14.264361,222.95459
20200421T2100,13.755579,227.1211
20200421T2200,12.475961,226.16914
20200421T2300,10.44,223.60281