location,Corral de Barrancas,Corral de Barrancas
lat,26.99988,26.99988
lon,-102.65625,-102.65625
asl,1315.492,1315.492
variable,Wind Speed,Wind Direction
unit,km/h,Â°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Corral de Barrancas Wind Speed [80 m],Corral de Barrancas Wind Direction [80 m]
20200414T0000,17.106628,98.471146
20200414T0100,15.5843,96.632515
20200414T0200,13.797912,97.49586
20200414T0300,12.783802,99.72758
20200414T0400,11.013882,101.30993
20200414T0500,9.885262,100.49147
20200414T0600,8.350138,97.431404
20200414T0700,7.928178,92.602554
20200414T0800,6.8399997,89.99999
20200414T0900,6.12,89.99999
20200414T1000,5.4477882,97.59464
20200414T1100,5.2416787,105.9454
20200414T1200,5.154415,114.77514
20200414T1300,5.95906,115.01689
20200414T1400,7.5942082,121.429565
20200414T1500,9.19939,120.57922
20200414T1600,10.630672,118.30075
20200414T1700,14.182355,113.96249
20200414T1800,17.873554,108.79989
20200414T1900,22.530937,102.925995
20200414T2000,23.623243,97.883125
20200414T2100,24.546085,94.20535
20200414T2200,22.319998,89.99999
20200414T2300,22.782625,84.55967
20200415T0000,20.833395,80.04937
20200415T0100,20.780453,75.96376
20200415T0200,20.176065,74.47588
20200415T0300,19.93048,73.20163
20200415T0400,18.331741,70.49754
20200415T0500,17.782688,68.62937
20200415T0600,16.645864,68.42869
20200415T0700,15.175612,67.693794
20200415T0800,12.287555,58.17256
20200415T0900,13.237039,67.61986
20200415T1000,12.758432,73.61045
20200415T1100,13.084402,82.092834
20200415T1200,12.979984,93.179825
20200415T1300,12.849528,101.30993
20200415T1400,12.57426,103.24051
20200415T1500,13.358861,104.03624
20200415T1600,13.276144,102.52881
20200415T1700,13.910169,100.43748
20200415T1800,12.496719,101.63363
20200415T1900,13.039754,96.34019
20200415T2000,13.202726,101.00354
20200415T2100,15.496736,92.662994
20200415T2200,16.23596,93.81408
20200415T2300,17.015474,96.07246
20200416T0000,15.986595,97.76516
20200416T0100,14.830076,95.5722
20200416T0200,12.964998,91.59113
20200416T0300,11.525623,88.21008
20200416T0400,10.464798,86.05482
20200416T0500,10.239453,79.87532
20200416T0600,9.9571085,77.47118
20200416T0700,10.182337,81.869896
20200416T0800,11.525623,75.52971
20200416T0900,10.495713,84.09385
20200416T1000,10.086427,92.0454
20200416T1100,10.594036,99.7824
20200416T1200,10.829958,111.44774
20200416T1300,11.440979,114.14554
20200416T1400,11.753877,117.34987
20200416T1500,13.363711,117.255325
20200416T1600,13.70839,119.9315
20200416T1700,14.20062,120.465546
20200416T1800,14.48972,116.56505
20200416T1900,16.516901,106.460014
20200416T2000,15.629972,97.943474
20200416T2100,17.294992,87.61405
20200416T2200,16.203999,88.72697
20200416T2300,15.496736,92.662994
20200417T0000,14.154915,97.305756
20200417T0100,12.9249525,102.87499
20200417T0200,11.631956,111.80141
20200417T0300,10.383987,123.69006
20200417T0400,10.195057,137.8624
20200417T0500,8.854829,153.43495
20200417T0600,5.4119864,176.18593
20200417T0700,4.0249224,190.30484
20200417T0800,5.1165614,219.28941
20200417T0900,5.692099,214.69516
20200417T1000,6.193674,215.53769
20200417T1100,6.638072,220.6013
20200417T1200,6.1305785,220.23636
20200417T1300,6.8777895,222.8789
20200417T1400,7.386582,223.02507
20200417T1500,6.4096174,218.15723
20200417T1600,5.1544156,192.09476
20200417T1700,7.289444,159.77515
20200417T1800,10.383987,146.30994
20200417T1900,14.904173,127.14668
20200417T2000,17.709658,63.43495
20200417T2100,15.137133,64.65382
20200417T2200,14.021525,60.802513
20200417T2300,15.2947035,63.43495
20200418T0000,15.175612,67.693794
20200418T0100,15.937878,71.56504
20200418T0200,13.237039,67.61986
20200418T0300,11.298495,67.52056
20200418T0400,9.360001,67.380135
20200418T0500,7.628263,70.70995
20200418T0600,6.9899354,78.11134
20200418T0700,7.2,89.99999
20200418T0800,7.9526596,95.19443
20200418T0900,7.6367526,98.1301
20200418T1000,8.287822,124.38034
20200418T1100,8.287822,145.61966
20200418T1200,7.2805495,171.46924
20200418T1300,7.8625183,195.9454
20200418T1400,9.693296,211.32869
20200418T1500,11.808878,217.5686
20200418T1600,13.684735,215.36246
20200418T1700,14.4,216.8699
20200418T1800,15.30741,221.18593
20200418T1900,14.84318,219.09386
20200418T2000,9.449572,139.63547
20200418T2100,16.904673,116.56505
20200418T2200,19.469976,123.69006
20200418T2300,18.335276,133.40886
20200419T0000,13.363711,152.74467
20200419T0100,10.028439,201.0375
20200419T0200,14.408997,257.00537
20200419T0300,25.233406,284.03625
20200419T0400,30.018473,292.56702
20200419T0500,33.190357,294.3411
20200419T0600,28.079998,292.61987
20200419T0700,23.795427,287.61258
20200419T0800,16.73516,288.8247
20200419T0900,12.522619,288.43497
20200419T1000,14.039999,292.61987
20200419T1100,14.689589,287.10272
20200419T1200,16.65754,276.20346
20200419T1300,18.359999,270.0
20200419T1400,19.803272,271.04163
20200419T1500,20.172853,272.0454
20200419T1600,20.532627,272.00955
20200419T1700,20.957443,274.92712
20200419T1800,20.633371,276.009
20200419T1900,18.844202,276.58194
20200419T2000,14.182355,293.9625
20200419T2100,9.19939,329.42078
20200419T2200,5.506941,11.309921
20200419T2300,4.3349743,48.366455
20200420T0000,4.0249224,79.695145
20200420T0100,5.3999996,89.99999
20200420T0200,5.3999996,89.99999
20200420T0300,6.489992,86.82017
20200420T0400,6.849467,86.98721
20200420T0500,6.849467,86.98721
20200420T0600,6.130579,86.63353
20200420T0700,5.04,89.99999
20200420T0800,1.0182338,315.0
20200420T0900,1.8,270.0
20200420T1000,3.096837,215.53769
20200420T1100,5.1919937,213.69006
20200420T1200,6.489992,213.69006
20200420T1300,7.9932966,234.16235
20200420T1400,10.30883,245.22485
20200420T1500,11.966953,248.83875
20200420T1600,12.864649,252.07208
20200420T1700,12.661564,255.17352
20200420T1800,11.720751,259.38034
20200420T1900,10.853866,264.28943
20200420T2000,8.654987,315.0
20200420T2100,3.96,360.0
20200420T2200,3.8773184,68.19859
20200420T2300,5.4477882,97.59464
20200421T0000,6.489992,109.44003
20200421T0100,6.9247384,117.89726
20200421T0200,7.289445,122.90524
20200421T0300,9.178235,131.82016
20200421T0400,10.233123,140.71059
20200421T0500,10.1887,147.99461
20200421T0600,8.373386,154.53665
20200421T0700,6.28713,166.75948
20200421T0800,3.2599385,186.3402
20200421T0900,2.0991426,239.03624
20200421T1000,1.08,270.0
20200421T1100,1.08,180.0
20200421T1200,2.4149535,153.43495
20200421T1300,4.6938257,147.52881
20200421T1400,6.489992,160.55997
20200421T1500,7.42159,165.96376
20200421T1600,8.4042845,170.13419
20200421T1700,9.107359,161.56505
20200421T1800,9.826088,151.55707
20200421T1900,10.703569,132.27368
20200421T2000,12.303366,110.556046
20200421T2100,13.797912,97.49586
20200421T2200,12.964998,91.59113
20200421T2300,13.679999,89.99999