location,Playa Novillero,Playa Novillero
lat,22.33321,22.33321
lon,-105.46875,-105.46875
asl,129.187,129.187
variable,Wind Speed,Wind Direction
unit,km/h,Â°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Playa Novillero Wind Speed [80 m],Playa Novillero Wind Direction [80 m]
20200414T0000,5.4833565,113.19859
20200414T0100,5.2416787,105.9454
20200414T0200,5.4477882,97.59464
20200414T0300,5.04,89.99999
20200414T0400,5.8048253,82.874985
20200414T0500,5.937272,75.96376
20200414T0600,6.12,61.927513
20200414T0700,6.12,61.927513
20200414T0800,5.991594,57.26477
20200414T0900,0.71999997,360.0
20200414T1000,3.2599385,263.65982
20200414T1100,5.2416787,254.0546
20200414T1200,7.289444,249.77515
20200414T1300,8.699793,245.55606
20200414T1400,11.592895,244.23068
20200414T1500,11.269782,243.43495
20200414T1600,13.0447235,242.02054
20200414T1700,11.983188,237.26477
20200414T1800,12.387348,234.46233
20200414T1900,10.009036,217.69424
20200414T2000,9.021574,208.61046
20200414T2100,6.924738,188.97263
20200414T2200,5.8603754,169.38034
20200414T2300,6.1305785,139.76364
20200415T0000,7.24486,116.56505
20200415T0100,7.42159,104.03624
20200415T0200,6.8399997,89.99999
20200415T0300,6.5693827,80.537674
20200415T0400,6.725354,74.47588
20200415T0500,6.489992,70.55996
20200415T0600,7.7879906,56.30993
20200415T0700,10.30883,65.224846
20200415T0800,8.39657,59.036232
20200415T0900,2.0991426,30.963745
20200415T1000,1.484318,255.96376
20200415T1100,3.8773184,248.1986
20200415T1200,5.8048253,240.25513
20200415T1300,8.049845,243.43495
20200415T1400,10.966713,246.8014
20200415T1500,10.30883,245.22485
20200415T1600,11.435313,241.82141
20200415T1700,11.183201,236.82149
20200415T1800,12.4811535,236.7683
20200415T1900,7.145796,229.08562
20200415T2000,6.618519,225.0
20200415T2100,4.0249224,190.30484
20200415T2200,4.072935,135.0
20200415T2300,6.28713,113.62937
20200416T0000,7.5170207,106.69924
20200416T0100,6.12,89.99999
20200416T0200,6.28713,76.75948
20200416T0300,6.489992,70.55996
20200416T0400,7.0911775,66.037506
20200416T0500,6.9247384,62.102737
20200416T0600,7.4128532,60.945396
20200416T0700,9.826088,61.557068
20200416T0800,8.217153,61.18921
20200416T0900,2.5959969,56.30993
20200416T1000,1.835647,258.69006
20200416T1100,3.8773184,248.1986
20200416T1200,6.297428,239.03625
20200416T1300,8.209263,232.12502
20200416T1400,11.384198,235.30484
20200416T1500,13.18308,235.00798
20200416T1600,14.4,233.1301
20200416T1700,11.246759,230.19443
20200416T1800,11.681987,236.30994
20200416T1900,6.3690495,222.7094
20200416T2000,5.3517847,222.27368
20200416T2100,3.0547013,225.0
20200416T2200,1.0182338,135.0
20200416T2300,4.73506,98.74616
20200417T0000,6.4799995,89.99999
20200417T0100,6.489992,86.82017
20200417T0200,6.638072,77.47118
20200417T0300,6.6185193,67.61986
20200417T0400,7.24486,63.43495
20200417T0500,7.24486,63.43495
20200417T0600,7.8954163,65.772255
20200417T0700,10.028439,68.96249
20200417T0800,8.557102,67.75098
20200417T0900,3.319036,77.47118
20200417T1000,2.3051248,218.65982
20200417T1100,6.12,241.92752
20200417T1200,9.339208,242.44719
20200417T1300,11.119281,240.9454
20200417T1400,14.336861,241.50436
20200417T1500,14.8257065,240.9454
20200417T1600,16.299694,239.47029
20200417T1700,14.57889,237.09476
20200417T1800,11.808878,232.43141
20200417T1900,7.145796,229.08562
20200417T2000,6.9153743,218.65982
20200417T2100,4.5536795,198.43495
20200417T2200,3.2599385,173.6598
20200417T2300,2.8116899,129.80557
20200418T0000,3.6,89.99999
20200418T0100,4.1046314,74.74488
20200418T0200,5.00128,59.74356
20200418T0300,5.4833565,66.8014
20200418T0400,5.3517847,70.346176
20200418T0500,5.5887027,75.06858
20200418T0600,5.937272,75.96376
20200418T0700,7.5685663,64.65382
20200418T0800,4.0249224,63.43495
20200418T0900,0.0,180.0
20200418T1000,4.0249224,243.43495
20200418T1100,6.151683,249.44395
20200418T1200,9.360001,247.38014
20200418T1300,10.30883,245.22485
20200418T1400,14.007655,244.09349
20200418T1500,14.512064,240.25513
20200418T1600,14.693999,239.03625
20200418T1700,11.183201,236.82149
20200418T1800,11.792404,238.73627
20200418T1900,6.193674,234.46233
20200418T2000,5.8603754,227.48956
20200418T2100,3.6,216.8699
20200418T2200,2.8799999,180.0
20200418T2300,2.3051248,141.34018
20200419T0000,2.4149535,116.56505
20200419T0100,3.671294,101.30993
20200419T0200,5.0528407,85.91438
20200419T0300,4.896529,72.89727
20200419T0400,5.495161,58.392494
20200419T0500,5.692099,55.304832
20200419T0600,6.193674,54.46232
20200419T0700,8.089993,69.14554
20200419T0800,3.7064266,60.945396
20200419T0900,0.0,180.0
20200419T1000,3.8773184,248.1986
20200419T1100,5.5887027,255.06857
20200419T1200,8.427383,250.0169
20200419T1300,9.83268,246.2505
20200419T1400,13.684735,243.43495
20200419T1500,14.512064,240.25513
20200419T1600,15.990646,238.81503
20200419T1700,12.682018,235.40771
20200419T1800,12.594856,239.03625
20200419T1900,6.4096174,231.84277
20200419T2000,6.638072,229.39871
20200419T2100,3.563818,225.0
20200419T2200,0.35999998,180.0
20200419T2300,3.9763298,84.805565
20200420T0000,5.4119864,86.18592
20200420T0100,5.4477882,82.40536
20200420T0200,5.2416787,74.054596
20200420T0300,4.829907,63.43495
20200420T0400,5.3517847,42.27368
20200420T0500,5.904439,37.568573
20200420T0600,6.1305785,40.236343
20200420T0700,9.504273,65.37643
20200420T0800,5.5887027,75.06858
20200420T0900,1.484318,165.96376
20200420T1000,4.6938257,237.52881
20200420T1100,5.815978,248.1986
20200420T1200,9.360001,247.38014
20200420T1300,10.636766,246.0375
20200420T1400,13.049689,245.55606
20200420T1500,12.245293,245.69547
20200420T1600,13.202726,244.13365
20200420T1700,11.435313,241.82141
20200420T1800,11.4862,237.80426
20200420T1900,4.829907,243.43495
20200420T2000,4.802999,257.00537
20200420T2100,2.5455842,278.1301
20200420T2200,1.4399999,360.0
20200420T2300,3.6,89.99999
20200421T0000,6.0347,107.35402
20200421T0100,6.830519,108.434944
20200421T0200,6.5693827,99.46232
20200421T0300,5.771239,86.42367
20200421T0400,6.151683,69.443954
20200421T0500,6.297428,59.036255
20200421T0600,7.2,53.130096
20200421T0700,7.491114,54.782394
20200421T0800,7.5942082,58.570435
20200421T0900,1.1384199,18.434952
20200421T1000,2.968636,255.96376
20200421T1100,5.4833565,246.8014
20200421T1200,8.373386,244.53665
20200421T1300,10.144082,242.52557
20200421T1400,13.217443,240.64226
20200421T1500,13.397612,239.30028
20200421T1600,14.57889,237.09476
20200421T1700,13.324863,231.58195
20200421T1800,13.513193,228.2397
20200421T1900,9.885262,213.11134
20200421T2000,9.227524,200.55605
20200421T2100,7.92,180.0
20200421T2200,7.42159,157.16635
20200421T2300,7.42159,129.09386