location,‘Izbat Qināwī,‘Izbat Qināwī
lat,31.11123,31.11123
lon,30.29805,30.29805
asl,7.758,7.758
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,‘Izbat Qināwī Wind Speed [80 m],‘Izbat Qināwī Wind Direction [80 m]
20200414T0000,16.700275,7.431381
20200414T0100,15.328561,9.462311
20200414T0200,13.849476,8.972626
20200414T0300,12.24,360.0
20200414T0400,12.074766,349.69516
20200414T0500,11.620809,343.8108
20200414T0600,10.587917,342.18112
20200414T0700,5.937272,345.96375
20200414T0800,7.92,360.0
20200414T0900,8.64,360.0
20200414T1000,9.028754,355.4261
20200414T1100,11.966954,344.29138
20200414T1200,16.746773,334.53668
20200414T1300,20.929594,333.43497
20200414T1400,24.821732,340.5139
20200414T1500,24.535524,345.55597
20200414T1600,23.675303,351.25385
20200414T1700,21.611998,358.09085
20200414T1800,19.110542,3.2397003
20200414T1900,19.917469,6.22583
20200414T2000,19.770523,10.49147
20200414T2100,18.25026,14.858612
20200414T2200,16.09969,26.565033
20200414T2300,14.113652,37.746796
20200415T0000,9.726664,38.990982
20200415T0100,8.161764,48.576324
20200415T0200,9.904906,70.90651
20200415T0300,13.698934,86.98721
20200415T0400,18.448023,95.599335
20200415T0500,19.137648,106.38954
20200415T0600,21.749481,114.44395
20200415T0700,21.178896,121.79891
20200415T0800,12.387348,125.537674
20200415T0900,14.773164,133.02505
20200415T1000,10.464797,153.43495
20200415T1100,5.1165614,219.28941
20200415T1200,9.255571,283.49573
20200415T1300,11.720751,312.51044
20200415T1400,7.289444,200.22485
20200415T1500,13.698934,183.01279
20200415T1600,14.917212,188.32565
20200415T1700,14.186923,215.7067
20200415T1800,12.599999,270.0
20200415T1900,15.459054,332.24146
20200415T2000,23.377836,9.752426
20200415T2100,27.21038,25.887024
20200415T2200,24.248611,40.785828
20200415T2300,18.86139,66.37062
20200416T0000,19.416653,100.68491
20200416T0100,22.97522,125.43331
20200416T0200,25.944988,150.94539
20200416T0300,20.140705,204.27444
20200416T0400,26.208397,232.8153
20200416T0500,32.19938,259.69516
20200416T0600,31.956972,284.34933
20200416T0700,29.204409,300.35812
20200416T0800,32.042023,297.42874
20200416T0900,33.332577,297.6721
20200416T1000,33.16692,297.1213
20200416T1100,35.756172,302.25
20200416T1200,36.551968,309.80557
20200416T1300,34.70407,306.98877
20200416T1400,37.419224,300.01837
20200416T1500,39.24,303.3985
20200416T1600,37.911266,300.2173
20200416T1700,34.298386,295.4892
20200416T1800,32.142982,285.59283
20200416T1900,32.846916,279.46234
20200416T2000,34.05379,283.4486
20200416T2100,36.73588,294.30457
20200416T2200,33.151287,304.38034
20200416T2300,30.886656,310.74615
20200417T0000,31.122826,311.2483
20200417T0100,32.399998,306.8699
20200417T0200,33.233284,309.72614
20200417T0300,30.58517,312.1376
20200417T0400,29.301876,312.51044
20200417T0500,28.515089,313.977
20200417T0600,26.729847,314.45435
20200417T0700,25.772078,318.96466
20200417T0800,24.627789,322.12503
20200417T0900,24.192429,323.47113
20200417T1000,24.408424,322.7921
20200417T1100,25.41763,322.4809
20200417T1200,26.932714,322.05786
20200417T1300,28.00837,322.83554
20200417T1400,28.58545,323.7074
20200417T1500,28.017622,332.4472
20200417T1600,27.852928,333.10376
20200417T1700,25.603062,332.35403
20200417T1800,23.4,329.48978
20200417T1900,23.688984,323.65253
20200417T2000,24.627789,322.12503
20200417T2100,23.4,329.48978
20200417T2200,21.603,336.4253
20200417T2300,19.855558,337.61987
20200418T0000,17.709658,333.43497
20200418T0100,15.778516,325.22217
20200418T0200,15.192682,323.6732
20200418T0300,23.210928,336.21796
20200418T0400,22.206486,340.09625
20200418T0500,20.176065,344.4759
20200418T0600,17.651016,348.23172
20200418T0700,11.090103,346.86597
20200418T0800,13.324863,358.45184
20200418T0900,14.04,360.0
20200418T1000,14.759999,360.0
20200418T1100,17.057314,352.725
20200418T1200,20.617662,347.90524
20200418T1300,24.18707,345.34326
20200418T1400,26.459389,345.01837
20200418T1500,27.248457,344.6785
20200418T1600,27.943514,345.0686
20200418T1700,25.984917,349.62415
20200418T1800,23.576563,352.98352
20200418T1900,22.392462,355.38934
20200418T2000,22.691425,358.1817
20200418T2100,23.039999,360.0
20200418T2200,22.3229,359.07596
20200418T2300,20.957443,355.07288
20200419T0000,20.06334,350.7067
20200419T0100,20.275385,343.49564
20200419T0200,20.056877,338.9625
20200419T0300,20.265795,347.69202
20200419T0400,19.48661,348.2749
20200419T0500,19.211996,347.00537
20200419T0600,19.809813,340.90652
20200419T0700,16.09969,333.43497
20200419T0800,18.214718,341.56506
20200419T0900,18.64369,349.992
20200419T1000,17.643673,358.83087
20200419T1100,17.643673,1.1691284
20200419T1200,18.374111,2.2457428
20200419T1300,20.188908,356.93353
20200419T1400,23.510508,348.518
20200419T1500,25.86494,351.1932
20200419T1600,29.598919,341.56506
20200419T1700,28.460497,341.56506
20200419T1800,24.975283,344.9622
20200419T1900,24.717085,347.38068
20200419T2000,24.442911,350.6764
20200419T2100,22.81957,353.65985
20200419T2200,21.647945,356.18594
20200419T2300,20.211363,355.91437
20200420T0000,19.959719,352.74683
20200420T0100,19.35314,350.3625
20200420T0200,17.873556,350.72742
20200420T0300,14.458382,341.11392
20200420T0400,13.450708,344.4759
20200420T0500,11.966954,344.29138
20200420T0600,11.659777,351.11935
20200420T0700,7.208994,357.13757
20200420T0800,9.72,360.0
20200420T0900,10.805999,358.09085
20200420T1000,10.08,360.0
20200420T1100,10.239453,349.87534
20200420T1200,11.090103,346.86597
20200420T1300,14.759999,347.31964
20200420T1400,19.652176,351.57306
20200420T1500,25.982424,356.02753
20200420T1600,23.4,360.0
20200420T1700,22.065973,5.617584
20200420T1800,20.240196,5.1021576
20200420T1900,21.485697,8.673172
20200420T2000,23.000591,17.300507
20200420T2100,21.629978,18.434952
20200420T2200,19.161337,25.602173
20200420T2300,16.575644,34.380325
20200421T0000,16.489416,53.88066
20200421T0100,16.766108,75.06858
20200421T0200,17.313717,86.42367
20200421T0300,13.75558,96.009
20200421T0400,19.959719,97.25319
20200421T0500,19.734436,104.79676
20200421T0600,17.533146,109.17901
20200421T0700,9.178235,115.55997
20200421T0800,11.91812,115.01689
20200421T0900,11.183201,123.17851
20200421T1000,10.97262,131.0091
20200421T1100,8.854829,153.43495
20200421T1200,6.489992,176.82018
20200421T1300,3.396233,212.00539
20200421T1400,5.3999996,323.13013
20200421T1500,15.542662,13.392487
20200421T1600,26.242987,26.91655
20200421T1700,28.017622,27.552795
20200421T1800,27.666182,32.242447
20200421T1900,32.59939,46.789917
20200421T2000,32.52177,63.71859
20200421T2100,33.697998,71.95218
20200421T2200,36.04677,81.38435
20200421T2300,34.247337,86.98721