location,Las Cañadas,Las Cañadas
lat,20.33322,20.33322
lon,-102.18750,-102.18750
asl,1734.639,1734.639
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Las Cañadas Wind Speed [80 m],Las Cañadas Wind Direction [80 m]
20200414T0000,12.661564,255.17352
20200414T0100,10.661107,258.31064
20200414T0200,9.531505,259.11447
20200414T0300,8.473393,257.73523
20200414T0400,7.072878,255.25644
20200414T0500,5.6920996,251.56506
20200414T0600,3.8773184,248.1986
20200414T0700,1.08,89.99999
20200414T0800,2.5455842,98.1301
20200414T0900,3.2399998,89.99999
20200414T1000,2.5959969,123.69006
20200414T1100,5.04,180.0
20200414T1200,10.365251,200.32314
20200414T1300,14.081477,212.47119
20200414T1400,17.84816,221.7295
20200414T1500,20.421871,229.28915
20200414T1600,22.180206,234.24612
20200414T1700,23.893261,239.1843
20200414T1800,28.503725,242.14035
20200414T1900,29.795301,241.8868
20200414T2000,29.69727,239.3936
20200414T2100,32.151043,235.95407
20200414T2200,30.676142,234.0715
20200414T2300,28.00837,232.83553
20200415T0000,22.104116,232.94348
20200415T0100,16.595179,229.39871
20200415T0200,13.246826,222.7974
20200415T0300,10.1887,212.00539
20200415T0400,8.534353,207.64598
20200415T0500,7.0911775,203.9625
20200415T0600,5.815978,201.8014
20200415T0700,3.2399998,180.0
20200415T0800,4.896529,197.10272
20200415T0900,2.2768397,161.56505
20200415T1000,3.319036,167.47119
20200415T1100,5.506941,191.30994
20200415T1200,10.296251,216.46924
20200415T1300,14.264361,227.04541
20200415T1400,17.10284,229.2679
20200415T1500,18.723461,232.0284
20200415T1600,19.469976,236.30994
20200415T1700,20.68356,238.52316
20200415T1800,23.277834,238.2764
20200415T1900,26.61323,239.96672
20200415T2000,22.79684,248.70264
20200415T2100,24.985659,233.79054
20200415T2200,21.638964,225.67404
20200415T2300,19.09358,225.7639
20200416T0000,15.546833,227.81555
20200416T0100,11.966954,226.21889
20200416T0200,9.504272,217.30396
20200416T0300,8.0899935,212.27565
20200416T0400,6.989936,214.50853
20200416T0500,5.991594,212.73523
20200416T0600,4.829907,206.56505
20200416T0700,3.7585104,196.69925
20200416T0800,4.3349743,184.76364
20200416T0900,3.4152596,161.56505
20200416T1000,4.5536795,161.56505
20200416T1100,6.849467,176.98721
20200416T1200,9.9571085,192.52881
20200416T1300,12.72283,205.11484
20200416T1400,14.081477,212.47119
20200416T1500,15.580141,220.3141
20200416T1600,18.11841,229.02826
20200416T1700,19.878391,234.58295
20200416T1800,21.794127,239.19855
20200416T1900,24.48,241.92752
20200416T2000,28.657898,243.11307
20200416T2100,31.056128,235.38885
20200416T2200,29.914679,230.371
20200416T2300,28.075384,229.15964
20200417T0000,24.72495,227.95078
20200417T0100,20.371038,226.4321
20200417T0200,16.563911,222.35745
20200417T0300,13.551501,219.61069
20200417T0400,11.525623,218.65982
20200417T0500,9.220499,218.65982
20200417T0600,6.696387,216.25385
20200417T0700,4.829907,206.56505
20200417T0800,5.495161,238.3925
20200417T0900,3.8268526,228.81409
20200417T1000,3.8268526,228.81409
20200417T1100,5.1919937,236.30994
20200417T1200,7.9932966,234.16235
20200417T1300,10.195057,227.86241
20200417T1400,11.480557,221.18593
20200417T1500,13.246826,222.7974
20200417T1600,14.264361,227.04541
20200417T1700,15.408671,232.59465
20200417T1800,16.179987,237.72437
20200417T1900,17.068707,242.35403
20200417T2000,22.26477,255.96376
20200417T2100,23.132626,249.02652
20200417T2200,23.023117,243.03429
20200417T2300,21.794127,239.19855
20200418T0000,17.786331,234.05789
20200418T0100,15.30741,228.81409
20200418T0200,14.05845,230.19443
20200418T0300,12.538134,230.82635
20200418T0400,11.304229,232.76517
20200418T0500,9.885262,236.88866
20200418T0600,8.373386,244.53665
20200418T0700,7.342588,258.69006
20200418T0800,8.766573,250.82098
20200418T0900,6.6185193,247.61987
20200418T1000,7.172949,252.47443
20200418T1100,9.346143,254.35776
20200418T1200,11.177405,255.06857
20200418T1300,12.10157,247.24902
20200418T1400,13.53236,241.38954
20200418T1500,14.982228,234.78241
20200418T1600,16.831684,228.46823
20200418T1700,18.391737,229.76364
20200418T1800,20.018072,232.30576
20200418T1900,20.87379,237.68039
20200418T2000,18.806337,264.5077
20200418T2100,16.808569,260.1342
20200418T2200,16.24394,257.19574
20200418T2300,18.584509,261.08508
20200419T0000,19.523155,264.70993
20200419T0100,20.163212,268.977
20200419T0200,18.391735,273.36646
20200419T0300,15.941944,276.4831
20200419T0400,13.797912,277.49585
20200419T0500,11.659777,278.88065
20200419T0600,10.239453,280.1247
20200419T0700,9.47012,278.74615
20200419T0800,8.942214,229.8991
20200419T0900,5.1165614,219.28941
20200419T1000,6.618519,225.0
20200419T1100,10.495713,239.03624
20200419T1200,14.8257065,240.9454
20200419T1300,17.595861,239.23729
20200419T1400,19.022177,240.52411
20200419T1500,19.486609,244.85522
20200419T1600,19.523155,247.2176
20200419T1700,20.393293,249.32558
20200419T1800,20.150354,251.24136
20200419T1900,19.694992,251.89624
20200419T2000,18.72,270.0
20200419T2100,18.709612,258.90628
20200419T2200,17.727943,257.0926
20200419T2300,17.935081,259.5923
20200420T0000,16.394829,261.1582
20200420T0100,15.226764,263.21103
20200420T0200,14.404499,268.5679
20200420T0300,12.605142,271.6366
20200420T0400,10.105681,274.08563
20200420T0500,9.028754,274.5739
20200420T0600,7.9526596,275.19443
20200420T0700,6.28713,283.2405
20200420T0800,6.4096174,231.84277
20200420T0900,3.6,216.8699
20200420T1000,4.5820518,225.0
20200420T1100,7.0911775,246.0375
20200420T1200,10.390226,255.96376
20200420T1300,11.726277,252.1213
20200420T1400,12.768586,248.49857
20200420T1500,13.708391,246.8014
20200420T1600,14.372974,247.9321
20200420T1700,14.707222,248.45903
20200420T1800,14.799459,251.56506
20200420T1900,16.071491,254.4072
20200420T2000,19.09358,272.16107
20200420T2100,19.829433,266.87787
20200420T2200,18.289274,259.79602
20200420T2300,15.716793,249.90477
20200421T0000,15.315873,246.44774
20200421T0100,14.33234,244.72229
20200421T0200,12.397806,244.17902
20200421T0300,10.966713,246.8014
20200421T0400,9.83268,246.2505
20200421T0500,7.5685663,244.65384
20200421T0600,5.00128,239.74356
20200421T0700,3.396233,237.99463
20200421T0800,1.0182338,225.0
20200421T0900,0.35999998,89.99999
20200421T1000,1.5273507,225.0
20200421T1100,4.3498964,245.55606
20200421T1200,6.0347,252.64598
20200421T1300,7.072878,255.25644
20200421T1400,6.763786,244.79889
20200421T1500,6.3690495,227.29062
20200421T1600,6.3690495,222.7094
20200421T1700,7.386582,223.02507
20200421T1800,9.449572,220.36453
20200421T1900,13.276144,220.6013
20200421T2000,21.437386,220.91438
20200421T2100,24.72495,222.04922
20200421T2200,22.42427,222.39745
20200421T2300,20.111729,224.27478