location,Villa Tecolutilla,Villa Tecolutilla
lat,18.32237,18.32237
lon,-93.32785,-93.32785
asl,7.067,7.067
variable,Wind Speed,Wind Direction
unit,km/h,Â°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Villa Tecolutilla Wind Speed [80 m],Villa Tecolutilla Wind Direction [80 m]
20200414T0000,5.1919937,236.30994
20200414T0100,5.937272,255.96376
20200414T0200,5.4119864,273.8141
20200414T0300,2.3051248,308.65982
20200414T0400,2.3051248,51.34018
20200414T0500,2.2768397,71.56504
20200414T0600,1.0182338,44.999985
20200414T0700,7.5685663,154.65382
20200414T0800,4.802999,167.00539
20200414T0900,1.1384199,108.434944
20200414T1000,6.2145634,10.00798
20200414T1100,11.177405,14.931412
20200414T1200,14.934577,15.376251
20200414T1300,18.079027,12.652557
20200414T1400,18.861387,13.240509
20200414T1500,21.218632,14.743561
20200414T1600,22.450264,15.819183
20200414T1700,23.491207,15.1010895
20200414T1800,22.104116,16.073563
20200414T1900,21.629978,18.434952
20200414T2000,21.659916,21.447723
20200414T2100,22.127556,21.974487
20200414T2200,20.60823,19.384506
20200414T2300,17.076298,18.434952
20200415T0000,6.489992,3.1798248
20200415T0100,7.0911775,293.9625
20200415T0200,10.44,316.3972
20200415T0300,16.418526,322.12503
20200415T0400,19.134262,318.8141
20200415T0500,18.391737,319.76367
20200415T0600,17.057314,315.8551
20200415T0700,13.830749,308.65982
20200415T0800,9.387651,302.4712
20200415T0900,8.587338,303.02386
20200415T1000,10.691453,315.0
20200415T1100,13.324863,321.58197
20200415T1200,17.377226,320.04248
20200415T1300,23.277834,320.64825
20200415T1400,25.460936,326.5346
20200415T1500,28.84721,330.87598
20200415T1600,29.949316,334.359
20200415T1700,30.351225,337.6938
20200415T1800,28.357857,339.95477
20200415T1900,25.862436,343.8355
20200415T2000,26.654589,343.52313
20200415T2100,23.157824,348.3407
20200415T2200,20.06334,350.7067
20200415T2300,16.23596,356.18594
20200416T0000,12.964998,1.5911255
20200416T0100,8.209263,15.255127
20200416T0200,5.904439,52.431404
20200416T0300,8.699793,65.55604
20200416T0400,9.585739,55.71312
20200416T0500,7.928177,50.527527
20200416T0600,5.3517847,47.726303
20200416T0700,2.7416782,23.198593
20200416T0800,4.73506,81.25384
20200416T0900,5.3999996,89.99999
20200416T1000,5.692099,55.304832
20200416T1100,8.557102,14.620865
20200416T1200,12.245294,1.6846771
20200416T1300,17.283749,358.80652
20200416T1400,20.519999,360.0
20200416T1500,23.759998,360.0
20200416T1600,25.223133,2.4540253
20200416T1700,26.661882,2.3215332
20200416T1800,25.651104,4.830414
20200416T1900,24.149532,10.30484
20200416T2000,22.033648,4.6858826
20200416T2100,18.861387,13.240509
20200416T2200,17.238699,28.705948
20200416T2300,17.057314,44.144897
20200417T0000,17.555307,61.858406
20200417T0100,16.071491,74.40718
20200417T0200,11.966953,83.08877
20200417T0300,5.937272,104.03624
20200417T0400,2.0991426,149.03624
20200417T0500,0.8049845,26.565033
20200417T0600,3.396233,32.005356
20200417T0700,4.6938257,32.47119
20200417T0800,2.4149535,116.56505
20200417T0900,6.638072,102.52881
20200417T1000,6.9899354,101.88866
20200417T1100,6.12,89.99999
20200417T1200,6.638072,49.398697
20200417T1300,13.570615,21.801407
20200417T1400,19.602652,7.386017
20200417T1500,22.725668,3.6329498
20200417T1600,25.683926,5.6306763
20200417T1700,27.51116,6.0090027
20200417T1800,27.047956,9.963806
20200417T1900,26.758923,17.216064
20200417T2000,21.841648,8.530762
20200417T2100,20.774214,8.972626
20200417T2200,21.218632,14.743561
20200417T2300,21.578989,27.847565
20200418T0000,24.75638,40.872406
20200418T0100,26.787966,48.81407
20200418T0200,28.40124,59.534447
20200418T0300,27.943514,75.06858
20200418T0400,24.609364,95.87739
20200418T0500,23.510508,115.3879
20200418T0600,21.897945,133.66777
20200418T0700,18.171976,146.30994
20200418T0800,11.298495,149.34933
20200418T0900,9.3876505,175.60129
20200418T1000,12.24,208.0725
20200418T1100,12.229406,222.61406
20200418T1200,9.339208,242.44719
20200418T1300,6.792466,302.00537
20200418T1400,15.84,360.0
20200418T1500,23.97989,7.765167
20200418T1600,24.216522,5.1173096
20200418T1700,25.764534,15.395554
20200418T1800,23.241617,16.189209
20200418T1900,23.507753,27.349869
20200418T2000,24.312662,27.323883
20200418T2100,22.406927,46.30194
20200418T2200,21.67487,57.893738
20200418T2300,23.006226,69.86369
20200419T0000,22.42427,84.47246
20200419T0100,17.731598,95.82633
20200419T0200,8.427383,109.9831
20200419T0300,2.1897945,189.46233
20200419T0400,4.802999,257.00537
20200419T0500,5.634891,243.43495
20200419T0600,4.32,180.0
20200419T0700,9.220499,128.6598
20200419T0800,10.195057,137.8624
20200419T0900,10.1887,147.99461
20200419T1000,9.360001,202.61987
20200419T1100,14.84318,219.09386
20200419T1200,18.581022,215.53769
20200419T1300,18.971008,213.38852
20200419T1400,16.489416,216.11934
20200419T1500,4.829907,206.56505
20200419T1600,5.4477882,82.40536
20200419T1700,11.043261,70.97439
20200419T1800,12.682018,83.480194
20200419T1900,9.931042,133.53119
20200419T2000,30.54701,188.1301
20200419T2100,27.908709,186.66666
20200419T2200,28.948118,201.13983
20200419T2300,36.08091,204.77515
20200420T0000,34.358788,215.18875
20200420T0100,35.647274,218.02722
20200420T0200,35.71265,217.21645
20200420T0300,36.288643,216.52885
20200420T0400,35.452232,212.56044
20200420T0500,34.793587,208.4212
20200420T0600,34.651752,203.90205
20200420T0700,32.44996,199.44003
20200420T0800,15.856356,182.60257
20200420T0900,23.444265,183.52145
20200420T1000,26.437336,186.25403
20200420T1100,29.01743,191.44934
20200420T1200,26.980793,198.6767
20200420T1300,14.007655,205.90651
20200420T1400,12.303366,20.556046
20200420T1500,26.980793,31.35707
20200420T1600,23.847115,28.886566
20200420T1700,26.826641,40.100906
20200420T1800,23.441502,42.510437
20200420T1900,21.94524,48.990906
20200420T2000,25.460936,33.465378
20200420T2100,21.67786,35.53766
20200420T2200,15.1884165,31.42955
20200420T2300,5.6233797,50.194427
20200421T0000,3.6179552,174.28941
20200421T0100,6.9247384,152.10272
20200421T0200,7.9932966,125.83765
20200421T0300,8.404285,133.26428
20200421T0400,7.172949,162.47443
20200421T0500,7.172949,197.52557
20200421T0600,8.891343,238.24052
20200421T0700,12.758432,253.61046
20200421T0800,9.904906,250.90651
20200421T0900,7.5942082,238.57043
20200421T1000,4.379589,189.46233
20200421T1100,1.0182338,135.0
20200421T1200,7.729527,27.75853
20200421T1300,20.5484,3.0127716
20200421T1400,25.241108,3.2704926
20200421T1500,29.035288,17.31163
20200421T1600,29.257614,18.657883
20200421T1700,29.024128,23.385208
20200421T1800,27.381308,24.880356
20200421T1900,27.381306,28.249725
20200421T2000,26.959166,34.114456
20200421T2100,28.257132,34.09497
20200421T2200,28.449112,38.3201
20200421T2300,28.583183,49.085617