location,El Espinal,El Espinal
lat,23.99988,23.99988
lon,-106.87500,-106.87500
asl,91.411,91.411
variable,Wind Speed,Wind Direction
unit,km/h,Â°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Espinal Wind Speed [80 m],El Espinal Wind Direction [80 m]
20200414T0000,3.0758414,20.556046
20200414T0100,3.319036,40.601288
20200414T0200,3.563818,44.999985
20200414T0300,3.6,53.130096
20200414T0400,4.3498964,65.55604
20200414T0500,4.452954,75.96376
20200414T0600,5.4119864,86.18592
20200414T0700,5.7599998,89.99999
20200414T0800,5.4119864,93.81408
20200414T0900,3.096837,125.537674
20200414T1000,5.3517847,222.27368
20200414T1100,7.653705,228.81409
20200414T1200,9.220499,231.3402
20200414T1300,9.178235,228.17984
20200414T1400,10.296251,233.53076
20200414T1500,10.383987,236.30994
20200414T1600,11.119281,240.9454
20200414T1700,9.83268,246.2505
20200414T1800,10.703569,250.34618
20200414T1900,8.557102,247.75098
20200414T2000,9.028754,246.50143
20200414T2100,6.6087217,240.64226
20200414T2200,5.0911684,225.0
20200414T2300,4.379589,189.46233
20200415T0000,5.0911684,171.8699
20200415T0100,6.0347,162.64597
20200415T0200,6.6185193,157.61987
20200415T0300,6.439876,153.43495
20200415T0400,6.297428,149.03624
20200415T0500,5.692099,145.30484
20200415T0600,5.5887027,104.93142
20200415T0700,7.072878,75.25644
20200415T0800,5.8603754,79.38034
20200415T0900,1.08,180.0
20200415T1000,3.8939953,213.69006
20200415T1100,6.1094027,225.0
20200415T1200,8.4963045,233.61565
20200415T1300,9.0,233.1301
20200415T1400,9.885262,236.88866
20200415T1500,9.387651,237.52881
20200415T1600,10.315115,240.75117
20200415T1700,8.891344,248.62938
20200415T1800,9.107359,251.56506
20200415T1900,4.6102495,231.3402
20200415T2000,4.6102495,231.3402
20200415T2100,1.609969,243.43495
20200415T2200,1.4399999,89.99999
20200415T2300,1.4399999,89.99999
20200416T0000,1.08,89.99999
20200416T0100,1.8,89.99999
20200416T0200,3.2599385,96.34019
20200416T0300,4.1046314,105.25512
20200416T0400,4.452954,104.03624
20200416T0500,4.452954,104.03624
20200416T0600,5.937272,104.03624
20200416T0700,7.342588,78.69006
20200416T0800,5.815978,68.19859
20200416T0900,0.35999998,180.0
20200416T1000,4.8433046,228.01279
20200416T1100,6.3690495,222.7094
20200416T1200,9.422101,226.54816
20200416T1300,9.422101,223.45184
20200416T1400,10.948973,226.33223
20200416T1500,10.703569,227.72632
20200416T1600,11.525623,231.3402
20200416T1700,10.233123,230.7106
20200416T1800,11.090103,234.24612
20200416T1900,4.8433046,221.98721
20200416T2000,2.7416782,246.8014
20200416T2100,0.0,180.0
20200416T2200,2.1897945,80.537674
20200416T2300,4.3349743,94.76365
20200417T0000,6.725354,105.5241
20200417T0100,6.28713,113.62937
20200417T0200,5.3517847,109.653824
20200417T0300,5.0911684,98.1301
20200417T0400,6.130579,93.366455
20200417T0500,5.7599998,89.99999
20200417T0600,6.12,89.99999
20200417T0700,6.9247384,62.102737
20200417T0800,5.4833565,66.8014
20200417T0900,1.1384199,198.43495
20200417T1000,6.4096174,231.84277
20200417T1100,8.209263,217.87498
20200417T1200,10.296251,216.46924
20200417T1300,10.296251,216.46924
20200417T1400,11.457958,223.72697
20200417T1500,9.673221,225.0
20200417T1600,9.957108,229.39871
20200417T1700,8.714677,231.70984
20200417T1800,10.1887,237.99463
20200417T1900,4.8433046,228.01279
20200417T2000,4.072935,225.0
20200417T2100,2.3051248,218.65982
20200417T2200,1.4399999,180.0
20200417T2300,2.0991426,120.96376
20200418T0000,3.7064266,119.054596
20200418T0100,4.198285,120.96376
20200418T0200,5.315336,118.30075
20200418T0300,4.510787,118.61046
20200418T0400,4.2136917,109.9831
20200418T0500,4.5536795,108.434944
20200418T0600,4.5536795,108.434944
20200418T0700,6.638072,77.47118
20200418T0800,4.452954,75.96376
20200418T0900,0.8049845,206.56505
20200418T1000,4.3498964,204.44395
20200418T1100,7.8954163,204.22775
20200418T1200,10.296251,216.46924
20200418T1300,10.97262,221.0091
20200418T1400,12.218805,225.0
20200418T1500,12.7279215,225.0
20200418T1600,10.464797,229.18492
20200418T1700,8.161764,228.57634
20200418T1800,9.220499,231.3402
20200418T1900,6.3690495,222.7094
20200418T2000,6.989936,214.50853
20200418T2100,4.73506,188.74615
20200418T2200,3.7064266,150.94539
20200418T2300,4.0249224,116.56505
20200419T0000,4.1046314,105.25512
20200419T0100,2.9024127,97.125015
20200419T0200,2.6208394,105.9454
20200419T0300,2.0364676,135.0
20200419T0400,2.3051248,141.34018
20200419T0500,2.0364676,135.0
20200419T0600,1.9386592,111.80141
20200419T0700,6.6185193,67.61986
20200419T0800,3.6,36.86989
20200419T0900,0.71999997,360.0
20200419T1000,3.096837,234.46233
20200419T1100,6.1094027,225.0
20200419T1200,7.8954163,223.15239
20200419T1300,8.404285,226.73572
20200419T1400,11.304229,232.76517
20200419T1500,11.609651,240.25513
20200419T1600,13.237039,247.61987
20200419T1700,11.966954,254.29138
20200419T1800,10.239453,259.87534
20200419T1900,5.6002855,225.0
20200419T2000,3.8939953,213.69006
20200419T2100,1.4399999,180.0
20200419T2200,2.9024127,60.25511
20200419T2300,5.00128,59.74356
20200420T0000,5.154415,65.224846
20200420T0100,4.198285,59.036232
20200420T0200,3.8268526,48.81407
20200420T0300,3.319036,49.398697
20200420T0400,3.8773184,68.19859
20200420T0500,4.452954,75.96376
20200420T0600,4.73506,81.25384
20200420T0700,8.311245,72.34988
20200420T0800,5.815978,68.19859
20200420T0900,0.0,180.0
20200420T1000,4.3349743,228.36647
20200420T1100,6.3690495,227.29062
20200420T1200,8.4963045,233.61565
20200420T1300,9.085988,236.30994
20200420T1400,11.435313,241.82141
20200420T1500,11.27553,253.30075
20200420T1600,12.429127,259.992
20200420T1700,12.245294,268.3153
20200420T1800,12.959999,270.0
20200420T1900,7.653705,221.18593
20200420T2000,6.3690495,222.7094
20200420T2100,3.319036,220.6013
20200420T2200,0.71999997,89.99999
20200420T2300,2.1897945,80.537674
20200421T0000,3.5455887,66.037506
20200421T0100,4.0249224,63.43495
20200421T0200,4.0249224,63.43495
20200421T0300,3.7585104,73.30075
20200421T0400,4.1046314,74.74488
20200421T0500,4.3349743,85.23635
20200421T0600,4.32,89.99999
20200421T0700,4.32,89.99999
20200421T0800,4.0249224,100.30484
20200421T0900,2.8799999,180.0
20200421T1000,6.4096174,218.15723
20200421T1100,8.14587,225.0
20200421T1200,9.504272,232.69606
20200421T1300,9.085988,236.30994
20200421T1400,10.495713,239.03624
20200421T1500,10.464797,243.43495
20200421T1600,11.770403,246.57132
20200421T1700,10.931203,252.75854
20200421T1800,10.390226,255.96376
20200421T1900,9.565437,250.20113
20200421T2000,9.983106,244.359
20200421T2100,7.9036193,239.93141
20200421T2200,5.8603754,222.51045
20200421T2300,5.771239,183.57634