location,Amalia,Amalia
lat,28.99988,28.99988
lon,-111.09375,-111.09375
asl,162.812,162.812
variable,Wind Speed,Wind Direction
unit,km/h,Â°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Amalia Wind Speed [80 m],Amalia Wind Direction [80 m]
20200414T0000,4.68,270.0
20200414T0100,3.671294,281.30994
20200414T0200,2.5959969,303.69006
20200414T0300,2.5455842,351.8699
20200414T0400,4.1046314,15.255127
20200414T0500,5.3999996,360.0
20200414T0600,6.0347,17.35402
20200414T0700,5.634891,26.565033
20200414T0800,3.396233,32.005356
20200414T0900,3.2399998,360.0
20200414T1000,1.835647,348.69006
20200414T1100,1.484318,255.96376
20200414T1200,4.510787,241.38954
20200414T1300,8.766573,250.82098
20200414T1400,11.720751,259.38034
20200414T1500,14.799459,265.8151
20200414T1600,16.56,270.0
20200414T1700,18.0,270.0
20200414T1800,20.16,270.0
20200414T1900,25.153671,260.9421
20200414T2000,29.44307,258.0031
20200414T2100,28.241076,258.97656
20200414T2200,17.727943,257.0926
20200414T2300,11.27553,253.30075
20200415T0000,8.654986,253.07248
20200415T0100,7.072878,255.25644
20200415T0200,5.3999996,270.0
20200415T0300,3.8773184,291.8014
20200415T0400,3.219938,333.43497
20200415T0500,4.39436,34.99202
20200415T0600,3.8268526,41.18593
20200415T0700,4.1046314,52.125
20200415T0800,2.9024127,60.25511
20200415T0900,0.71999997,89.99999
20200415T1000,2.968636,194.03624
20200415T1100,6.989936,214.50853
20200415T1200,10.97262,228.9909
20200415T1300,14.512064,240.25513
20200415T1400,17.114204,247.75098
20200415T1500,19.483284,253.90918
20200415T1600,20.12461,259.69516
20200415T1700,20.833395,260.04938
20200415T1800,27.72,270.0
20200415T1900,30.239998,270.0
20200415T2000,32.431984,272.5448
20200415T2100,31.810638,275.19443
20200415T2200,24.648829,276.70984
20200415T2300,12.964998,271.59113
20200416T0000,8.473393,257.73523
20200416T0100,5.6920996,251.56506
20200416T0200,3.0758414,249.44395
20200416T0300,0.0,180.0
20200416T0400,2.2768397,71.56504
20200416T0500,4.1046314,74.74488
20200416T0600,3.6179552,95.71059
20200416T0700,5.0528407,94.08562
20200416T0800,4.32,89.99999
20200416T0900,4.8433046,131.98721
20200416T1000,7.342588,168.69006
20200416T1100,10.739833,193.57043
20200416T1200,13.70839,209.93152
20200416T1300,16.08761,220.46222
20200416T1400,18.59845,227.3533
20200416T1500,21.599998,233.1301
20200416T1600,22.768396,235.30484
20200416T1700,23.664352,236.79343
20200416T1800,25.068514,234.94058
20200416T1900,24.20314,239.62088
20200416T2000,21.096123,244.74684
20200416T2100,17.555305,254.53879
20200416T2200,13.493999,260.78897
20200416T2300,8.669949,265.23636
20200417T0000,5.0528407,265.91437
20200417T0100,2.1897945,260.5377
20200417T0200,1.1384199,108.434944
20200417T0300,3.6179552,95.71059
20200417T0400,5.04,89.99999
20200417T0500,5.0911684,81.869896
20200417T0600,3.8268526,138.81407
20200417T0700,5.3517847,109.653824
20200417T0800,5.8603754,100.61965
20200417T0900,8.78872,145.00798
20200417T1000,14.471821,174.28941
20200417T1100,21.129885,188.82037
20200417T1200,26.758923,199.65382
20200417T1300,30.75209,207.16498
20200417T1400,32.909985,210.21133
20200417T1500,34.54687,213.52448
20200417T1600,33.192314,216.62132
20200417T1700,31.485083,218.96675
20200417T1800,31.667723,220.38934
20200417T1900,26.250393,227.77917
20200417T2000,23.185787,233.84181
20200417T2100,18.532135,240.9454
20200417T2200,13.202726,244.13365
20200417T2300,8.225035,246.8014
20200418T0000,4.829907,243.43495
20200418T0100,3.319036,220.6013
20200418T0200,2.52,180.0
20200418T0300,2.5959969,146.30994
20200418T0400,2.8116899,129.80557
20200418T0500,3.5455887,113.96249
20200418T0600,5.4833565,113.19859
20200418T0700,5.692099,124.69515
20200418T0800,5.00128,149.74356
20200418T0900,7.928178,177.39743
20200418T1000,12.9249525,192.875
20200418T1100,17.555307,208.1416
20200418T1200,22.392464,216.50143
20200418T1300,26.478971,226.10172
20200418T1400,29.088802,233.55556
20200418T1500,30.190672,239.15341
20200418T1600,29.462873,243.12186
20200418T1700,28.36471,246.0375
20200418T1800,27.908709,239.79677
20200418T1900,25.842384,251.31265
20200418T2000,26.079508,263.65982
20200418T2100,25.922499,270.79572
20200418T2200,23.857979,275.19443
20200418T2300,20.240196,275.10217
20200419T0000,14.417988,272.8624
20200419T0100,9.72,270.0
20200419T0200,6.849467,266.9872
20200419T0300,5.0528407,265.91437
20200419T0400,3.6,270.0
20200419T0500,2.0991426,300.96378
20200419T0600,1.4399999,360.0
20200419T0700,4.3498964,65.55604
20200419T0800,3.2399998,89.99999
20200419T0900,3.5455887,113.96249
20200419T1000,4.3498964,155.55605
20200419T1100,6.130579,183.36646
20200419T1200,9.028754,203.49857
20200419T1300,11.681987,213.69006
20200419T1400,14.512064,223.99492
20200419T1500,16.704155,232.88315
20200419T1600,18.671474,236.00354
20200419T1700,20.68356,238.52316
20200419T1800,24.774696,234.46233
20200419T1900,25.809765,239.85861
20200419T2000,24.162947,245.3441
20200419T2100,21.218632,255.25644
20200419T2200,16.981165,265.1355
20200419T2300,11.165805,268.1524
20200420T0000,6.87779,263.991
20200420T0100,3.2599385,263.65982
20200420T0200,0.5091169,225.0
20200420T0300,1.2979984,123.69006
20200420T0400,1.8,89.99999
20200420T0500,2.6208394,74.054596
20200420T0600,6.12,89.99999
20200420T0700,6.130579,86.63353
20200420T0800,3.0758414,69.443954
20200420T0900,2.7416782,156.8014
20200420T1000,8.557102,194.62088
20200420T1100,12.783802,212.34744
20200420T1200,15.072783,220.156
20200420T1300,17.84816,228.2705
20200420T1400,19.8,233.1301
20200420T1500,21.67487,237.89374
20200420T1600,23.219301,240.25513
20200420T1700,24.312662,242.67612
20200420T1800,24.18707,255.34326
20200420T1900,23.157824,258.3407
20200420T2000,23.675303,261.25385
20200420T2100,22.104116,263.4537
20200420T2200,18.0,270.0
20200420T2300,13.039754,276.34018
20200421T0000,9.178235,281.30994
20200421T0100,6.0347,287.35403
20200421T0200,3.8939953,303.69006
20200421T0300,2.9024127,330.25513
20200421T0400,3.2399998,360.0
20200421T0500,4.0249224,10.30484
20200421T0600,4.802999,12.994629
20200421T0700,5.154415,24.775131
20200421T0800,3.096837,35.53766
20200421T0900,1.609969,333.43497
20200421T1000,3.2399998,270.0
20200421T1100,7.42159,255.96376
20200421T1200,11.620809,253.81079
20200421T1300,16.071491,254.4072
20200421T1400,19.734436,255.20325
20200421T1500,22.530937,257.074
20200421T1600,23.936617,257.84506
20200421T1700,25.277023,259.3302
20200421T1800,25.099514,261.7537
20200421T1900,26.33911,259.7652
20200421T2000,30.190672,261.7733
20200421T2100,29.574827,266.51068
20200421T2200,21.96,270.0
20200421T2300,13.004921,265.23636